survey_id,category,loi,payout_publisher_usd,quality_score,conversion_rate,click_to_okay_rate,type,href_new,href
60729393,Automotive,5,0.44,17,46.00,0.94,need_qualification,https://offers.cpx-research.com/index.php?app_id=10754&ext_user_id=TEST_CSV&survey_id=60729393,https://click.cpx-research.com/?k=MWdKMVNaRjVoSXBzbnJRUTQxZDdhVFV5ZGcwNkVlQ2VCUWhRV3BXb2tidVZFMUw3RS9zSXhMN0hBZ0pmQ2o4RjJiSUJCd1ZocWV0RytsZ3dmcExqLzVFNExGc2tXZDAzNFl0NGprcGpZUWp2dTkyL05hODVYVlBhWldscEpZMWo=&api=true&time_stamp=1770356747&subid_1=&subid_2=
60877544,Other,20,0.06,13,54.84,2.14,need_qualification,https://offers.cpx-research.com/index.php?app_id=10754&ext_user_id=TEST_CSV&survey_id=60877544,https://click.cpx-research.com/?k=MWdKMVNaRjVoSXBzbnJRUTQxZDdhVFV5ZGcwNkVlQ2VCUWhRV3BXb2tidVZFMUw3RS9zSXhMN0hBZ0pmQ2o4RjJiSUJCd1ZocWV0RytsZ3dmcExqLzhnVzFCZlpMK0VTTEZwanJnY3NJeStFT0UxRjRHQ0dneGFRM2UvQytGMFc=&api=true&time_stamp=1770356747&subid_1=&subid_2=
60860578,Travel,8,0.11,12,27.00,2.44,need_qualification,https://offers.cpx-research.com/index.php?app_id=10754&ext_user_id=TEST_CSV&survey_id=60860578,https://click.cpx-research.com/?k=MWdKMVNaRjVoSXBzbnJRUTQxZDdhVFV5ZGcwNkVlQ2VCUWhRV3BXb2tidVZFMUw3RS9zSXhMN0hBZ0pmQ2o4RjJiSUJCd1ZocWV0RytsZ3dmcExqLzdQRDNCU2tZTVd6NWJnZjBTR20rbUhHVmNzS1A2TGhVVzQ5V29TSFNhdE4=&api=true&time_stamp=1770356747&subid_1=&subid_2=
60430947,Entertainment,26,2.1,11,24.00,0.61,need_qualification,https://offers.cpx-research.com/index.php?app_id=10754&ext_user_id=TEST_CSV&survey_id=60430947,https://click.cpx-research.com/?k=MWdKMVNaRjVoSXBzbnJRUTQxZDdhVFV5ZGcwNkVlQ2VCUWhRV3BXb2tidVZFMUw3RS9zSXhMN0hBZ0pmQ2o4RjJiSUJCd1ZocWV0RytsZ3dmcExqLzduUXhQNVRaYVB5cEczWU9QT3V3aUluMXA3UVEzUzlMV041c3d6YWZkcVo=&api=true&time_stamp=1770356747&subid_1=&subid_2=
60823108,Fashion,34,2.1,11,4.00,26.08,need_qualification,https://offers.cpx-research.com/index.php?app_id=10754&ext_user_id=TEST_CSV&survey_id=60823108,https://click.cpx-research.com/?k=MWdKMVNaRjVoSXBzbnJRUTQxZDdhVFV5ZGcwNkVlQ2VCUWhRV3BXb2tidVZFMUw3RS9zSXhMN0hBZ0pmQ2o4RjJiSUJCd1ZocWV0RytsZ3dmcExqL3drLzZJeGlmalA4Q2dPZlA5UVZHdWIyNTlDOUpzUXFiNzhFUmRZRWQ0UlA=&api=true&time_stamp=1770356747&subid_1=&subid_2=
59654767,Finance,21,0.38,10,30.00,0.66,need_qualification,https://offers.cpx-research.com/index.php?app_id=10754&ext_user_id=TEST_CSV&survey_id=59654767,https://click.cpx-research.com/?k=MWdKMVNaRjVoSXBzbnJRUTQxZDdhVFV5ZGcwNkVlQ2VCUWhRV3BXb2tidVZFMUw3RS9zSXhMN0hBZ0pmQ2o4RjJiSUJCd1ZocWV0RytsZ3dmcExqLzBFUkJxYkdORS81WDZxMWdDZTZZZ1k4YkZRWnFDZkxWaXNrdjVTenZYUkM=&api=true&time_stamp=1770356747&subid_1=&subid_2=
59937461,Other,22,0.98,10,15.00,0.19,need_qualification,https://offers.cpx-research.com/index.php?app_id=10754&ext_user_id=TEST_CSV&survey_id=59937461,https://click.cpx-research.com/?k=MWdKMVNaRjVoSXBzbnJRUTQxZDdhVFV5ZGcwNkVlQ2VCUWhRV3BXb2tidVZFMUw3RS9zSXhMN0hBZ0pmQ2o4RjJiSUJCd1ZocWV0RytsZ3dmcExqLzMyRVlnMkNOam9qRmxjSlArbC9rRlhPNC82OGhIV0xUUUpINEZFNWxzcUc=&api=true&time_stamp=1770356747&subid_1=&subid_2=
60822916,Tech,15,0.62,9,4.00,15.22,need_qualification,https://offers.cpx-research.com/index.php?app_id=10754&ext_user_id=TEST_CSV&survey_id=60822916,https://click.cpx-research.com/?k=MWdKMVNaRjVoSXBzbnJRUTQxZDdhVFV5ZGcwNkVlQ2VCUWhRV3BXb2tidVZFMUw3RS9zSXhMN0hBZ0pmQ2o4RjJiSUJCd1ZocWV0RytsZ3dmcExqLzhrRnZrUWZ5bkdpMCsxNzIyaG1vcW5wajMyTUt4Tk9QLzJ0L0NKajB4c08=&api=true&time_stamp=1770356747&subid_1=&subid_2=
60879877,,10,0.26,9,20.00,0.10,need_qualification,https://offers.cpx-research.com/index.php?app_id=10754&ext_user_id=TEST_CSV&survey_id=60879877,https://click.cpx-research.com/?k=MWdKMVNaRjVoSXBzbnJRUTQxZDdhVFV5ZGcwNkVlQ2VCUWhRV3BXb2tidVZFMUw3RS9zSXhMN0hBZ0pmQ2o4RjJiSUJCd1ZocWV0RytsZ3dmcExqLzd3Q0JHdEF6T01ZZGNURkE1SEdJVjFoMERrRENJZXgwVGpqNWJBajc4dm4=&api=true&time_stamp=1770356747&subid_1=&subid_2=
60884384,,15,0.6,9,10.00,1.00,need_qualification,https://offers.cpx-research.com/index.php?app_id=10754&ext_user_id=TEST_CSV&survey_id=60884384,https://click.cpx-research.com/?k=MWdKMVNaRjVoSXBzbnJRUTQxZDdhVFV5ZGcwNkVlQ2VCUWhRV3BXb2tidVZFMUw3RS9zSXhMN0hBZ0pmQ2o4RjJiSUJCd1ZocWV0RytsZ3dmcExqL3hzODVxRmszNkpiS1doMXFkK05NQjBtOVllMnZZaGxOL2JNS045TEF1WUQ=&api=true&time_stamp=1770356747&subid_1=&subid_2=
